"a","D1_Gamma","D2_Gamma","D3_Gamma","D4_Gamma","D5_Gamma","D1_Beta","D2_Beta","D3_Beta","D4_Beta","D5_Beta","Beta_Gamma"
2.05,0.763293930994708,0.763293930994708,0.782617827981915,0.91788510689237,1,0.528870602941373,0.528870602941373,0.778882160695476,0.663492210962813,0.631586176939536,0.631586176939536
2.1,0.763293930994708,0.763293930994708,0.782617827981915,0.91788510689237,1,0.528870602941373,0.528870602941373,0.778882160695476,0.663492210962813,0.631586176939536,0.631586176939536
2.15,0.628026652084253,0.628026652084253,0.782617827981915,0.91788510689237,1,0.432712311497487,0.432712311497487,0.778882160695476,0.663492210962813,0.631586176939536,0.631586176939536
2.2,0.628026652084253,0.628026652084253,0.782617827981915,0.91788510689237,1,0.41348065320871,0.41348065320871,0.759650502406699,0.644260552674036,0.65072515199831,0.65072515199831
2.25,0.647350549071461,0.647350549071461,0.763293930994708,0.898561209905162,1,0.41348065320871,0.41348065320871,0.721187185829145,0.605797236096481,0.593308226821988,0.593308226821988
2.3,0.666674446058669,0.666674446058669,0.7439700340075,0.879237312917954,1,0.41348065320871,0.41348065320871,0.721187185829145,0.605797236096481,0.574169251763215,0.574169251763215
2.35,0.666674446058669,0.666674446058669,0.7439700340075,0.879237312917954,1,0.432712311497487,0.432712311497487,0.701955527540367,0.586565577807704,0.555030276704441,0.555030276704441
2.4,0.666674446058669,0.666674446058669,0.7439700340075,0.879237312917954,1,0.432712311497487,0.432712311497487,0.701955527540367,0.586565577807704,0.555030276704441,0.555030276704441
2.45,0.589378858109837,0.589378858109837,0.7439700340075,0.879237312917954,1,0.394248994919932,0.394248994919932,0.701955527540367,0.586565577807704,0.555030276704441,0.555030276704441
2.5,0.589378858109837,0.589378858109837,0.7439700340075,0.879237312917954,1,0.394248994919932,0.394248994919932,0.701955527540367,0.586565577807704,0.555030276704441,0.555030276704441
2.55,0.531407167148214,0.531407167148214,0.7439700340075,0.879237312917954,1,0.375017336631155,0.375017336631155,0.701955527540367,0.586565577807704,0.555030276704441,0.555030276704441
2.6,0.531407167148214,0.531407167148214,0.7439700340075,0.879237312917954,1,0.375017336631155,0.375017336631155,0.701955527540367,0.586565577807704,0.555030276704441,0.555030276704441
2.65,0.512083270161006,0.512083270161006,0.7439700340075,0.879237312917954,1,0.394248994919932,0.394248994919932,0.663492210962813,0.54810226123015,0.555030276704441,0.555030276704441
2.7,0.492759373173799,0.492759373173799,0.7439700340075,0.879237312917954,1,0.375017336631155,0.375017336631155,0.663492210962813,0.54810226123015,0.555030276704441,0.555030276704441
2.75,0.492759373173799,0.492759373173799,0.7439700340075,0.879237312917954,1,0.375017336631155,0.375017336631155,0.663492210962813,0.54810226123015,0.555030276704441,0.555030276704441
2.8,0.492759373173799,0.492759373173799,0.7439700340075,0.879237312917954,1,0.375017336631155,0.375017336631155,0.663492210962813,0.54810226123015,0.555030276704441,0.555030276704441
2.85,0.492759373173799,0.492759373173799,0.7439700340075,0.879237312917954,1,0.375017336631155,0.375017336631155,0.625028894385259,0.509638944652595,0.516752326586893,0.516752326586893
2.9,0.492759373173799,0.492759373173799,0.7439700340075,0.879237312917954,1,0.375017336631155,0.375017336631155,0.625028894385259,0.509638944652595,0.516752326586893,0.516752326586893
2.95,0.434787682212175,0.434787682212175,0.7439700340075,0.879237312917954,1,0.317322361764824,0.317322361764824,0.625028894385259,0.509638944652595,0.516752326586893,0.516752326586893
3,0.434787682212175,0.434787682212175,0.7439700340075,0.879237312917954,1,0.317322361764824,0.317322361764824,0.625028894385259,0.509638944652595,0.516752326586893,0.516752326586893
